Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
StoryWorth,https://www.crunchbase.com/organization/storyworth,Internet Services,"San Francisco, California, United States",StoryWorth makes it easy for people to privately record their family stories.,"41,849",11/1/12,,3/1/11,1,"$167,000 ",Seed,"$167,000 ","$167,000 ","$167,000 "
Ethonova,https://www.crunchbase.com/organization/ethonova,,"San Francisco, California, United States","Ethonova Inc is a corporation located in San Francisco, California. Charitable donations to this organization are deductible. The Ethonova","57,141",1/1/12,,7/20/11,1,"$40,000 ",Seed,"$40,000 ","$40,000 ","$40,000 "
Harbor BioSciences,https://www.crunchbase.com/organization/harbor-biosciences,"Biotechnology, Science and Engineering, Health Care","San Diego, California, United States",Harbor TherapeuticsÂ develops a proprietary class of adrenal steroid hormones as novel pharmaceuticals and nutraceuticals for human health.,"34,781",1/1/12,,8/12/11,1,"$2,825,000 ",Seed,"$2,825,000 ","$2,825,000 ","$2,825,000 "
"Zoomph, Inc.",https://www.crunchbase.com/organization/zoomph,"Apps, Media and Entertainment, Information Technology, Data and Analytics, Software, Sales and Marketing, Internet Services, Design","Reston, Virginia, United States","Zoomph pinpoints contextually relevant social media trends, moments & people in realtime to power effective marketing programs","22,915",1/1/12,,1/1/12,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
Appsembler,https://www.crunchbase.com/organization/appsembler,"Software, Education","Somerville, Massachusetts, United States","Appsembler helps trainers and educators deliver better online learning experiences with one, easy-to-use platform.","25,977",1/1/12,,1/1/12,1,"$118,000 ",Seed,"$118,000 ","$118,000 ","$118,000 "
Queue,https://www.crunchbase.com/organization/queue,"Media and Entertainment, Events","Sacramento, California, United States",Queue is an event management & ticketing platform for event producers designed to increase revenue while decreasing risk.,"31,741",1/1/12,,1/1/12,1,"$400,000 ",Seed,"$400,000 ","$400,000 ","$400,000 "
Spotster,https://www.crunchbase.com/organization/spotster,"Media and Entertainment, Events, Mobile","New York, New York, United States",Spotster operates a web and mobile platform that enables people to share and be informed of events that are happening in real time.,"32,847",6/1/12,,1/1/12,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
Shopilly,https://www.crunchbase.com/organization/shopilly,"Commerce and Shopping, Information Technology, Sales and Marketing, Internet Services, Messaging and Telecommunications","Palo Alto, California, United States","Shopilly collects and organizes offers, coupons and receipts for you. So you can skip the clutter in your personal inbox.","35,132",1/1/12,,1/1/12,1,"$800,000 ",Seed,"$800,000 ","$800,000 ","$800,000 "
BindHQ,https://www.crunchbase.com/organization/bindhq,"Software, Internet Services, Financial Services","Tustin, California, United States",Cloud based agency management & CRM tool,"41,241",1/1/12,,1/1/12,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
Radio Runt Inc.,https://www.crunchbase.com/organization/radio-runt-inc,"Information Technology, Software, Internet Services, Messaging and Telecommunications","Bellevue, Washington, United States",Radio Runt offers a group-centric audio communication application for social and interest networks on Android and iOS devices.,"44,499",1/1/12,,1/1/12,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Autocosta,https://www.crunchbase.com/organization/autocosta,Transportation,"Los Angeles, California, United States",Autocosta is a web portal of cost-to-own reports created to educate and empower car shoppers to make better decisions.,"44,773",4/1/12,,1/1/12,1,"$1,100,000 ",Seed,"$1,100,000 ","$1,100,000 ","$1,100,000 "
SiphonLabs,https://www.crunchbase.com/organization/siphonlabs,"Media and Entertainment, Software, Internet Services, Content and Publishing","Dallas, Texas, United States",Premium Managed WordPress Hosting,"45,124",3/1/13,,1/1/12,1,"$860,000 ",Seed,"$860,000 ","$860,000 ","$860,000 "
iBidGames,https://www.crunchbase.com/organization/interactive-bid-games-inc,"Apps, Commerce and Shopping, Software","Las Vegas, Nevada, United States",Interactive Bid Games produces and develops applications and interactive auction games for mobile,"45,727",4/20/12,,1/1/12,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
RAREFORM,https://www.crunchbase.com/organization/rareform,"Commerce and Shopping, Sports","Santa Monica, California, United States",Building the best products that help sustain our playground. The eco-friendly choice for outdoor athletes. Enjoy your stay!,"45,745",1/1/12,,1/1/12,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Baboo,https://www.crunchbase.com/organization/baboo,"Data and Analytics, Software, Design","Los Angeles, California, United States",Baboo is focused on serving entertainment and associated consumer product brands.,"50,592",1/1/12,,1/1/12,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
CureSquare,https://www.crunchbase.com/organization/curesquare,Health Care,"Chicago, Illinois, United States",CureSquare is a concierge physician appointment service that helps patients secure appointments with doctors.,"51,375",1/1/12,,1/1/12,1,"$375,000 ",Seed,"$375,000 ","$375,000 ","$375,000 "
CU Appraisal Services,https://www.crunchbase.com/organization/cu-appraisal-services,,"Fairborn, Ohio, United States",CU Appraisal Services provides collateral valuation and risk mitigation services to the credit union industry.,"52,600",1/1/12,,1/1/12,1,"$600,000 ",Seed,"$600,000 ","$600,000 ","$600,000 "
GLADvertising.com,https://www.crunchbase.com/organization/gladvertising-com,"Software, Sales and Marketing, Internet Services, Advertising","Northbrook, Illinois, United States",GLADvertising.com is an online platform that provides cost-effective internet marketing solutions for small- and medium-sized businesses.,"55,031",1/1/12,,1/1/12,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
Spreadknowledge,https://www.crunchbase.com/organization/spreadknowledge,Sports,"Philadelphia, Pennsylvania, United States","SpreadKnowledge is a sports picking and tipping platform that allows users to create contests, demonstrate sports knowledge, and more.","57,996",1/1/12,,1/1/12,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
Yakify,https://www.crunchbase.com/organization/yakify,Real Estate,"Manhattan Beach, California, United States","Yakify connects homeowners and design enthusiasts with top interior designers and architects, to help them create their dream home.","58,564",1/1/12,,1/1/12,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
LXSN,https://www.crunchbase.com/organization/lxsn,"Media and Entertainment, Internet Services","Palo Alto, California, United States",LXSN (linkscross) is an open social platform that utilizes user location and purchase data to expand a user's social network.,"61,286",6/21/12,,1/1/12,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
ishBowl,https://www.crunchbase.com/organization/ishbowl,"Sports, Sales and Marketing","San Francisco, California, United States",ishBowl allows businesses to create customized in-store video playlists based on the brands that are sold in that particular market.,"61,556",1/1/12,,1/1/12,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Copyrightys,https://www.crunchbase.com/organization/copyrightys,Professional Services,"Palo Alto, California, United States",Immediate Copyright Verification,"62,727",1/1/12,,1/1/12,1,"$10,000 ",Seed,"$10,000 ","$10,000 ","$10,000 "
Revcaster,https://www.crunchbase.com/organization/revcaster,Travel and Tourism,"Portland, Oregon, United States",SaaS Competitor Intelligence Tool,"62,858",1/1/12,,1/1/12,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
KnoCo,https://www.crunchbase.com/organization/knoco,"Gaming, Media and Entertainment, Education","Memphis, Tennessee, United States",Knoco is a developer of educational video games with one-to-one tutorials.,"63,485",1/1/12,,1/1/12,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
The Political Student,https://www.crunchbase.com/organization/the-political-student,"Media and Entertainment, Internet Services, Content and Publishing","Saratoga, California, United States",The Political Student is a Northern California-based community that develops and maintains a news and opinion website.,"79,437",7/1/12,,1/1/12,1,"$1,000 ",Seed,"$1,000 ","$1,000 ","$1,000 "
Fundology,https://www.crunchbase.com/organization/fundology,"Information Technology, Privacy and Security, Financial Services","Chicago, Illinois, United States",Fundology is a high security M&A project management platform for complex transactions and due diligence.,"40,061",1/2/12,,1/2/12,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
Bolster,https://www.crunchbase.com/organization/bolster,"Real Estate, Financial Services","New York, New York, United States",Platform for major home renovation projects (operating at 98.7% on time and 99.3% on budget as of Feb 17),"21,004",1/3/12,,1/3/12,1,"$750,000 ",Seed,"$750,000 ","$750,000 ","$750,000 "
PiperScout,https://www.crunchbase.com/organization/piperscout,"Hardware, Commerce and Shopping, Consumer Electronics, Mobile","Dunwoody, Georgia, United States",PiperScout is a mobile solutions company that provides mobile accessories and managed mobility services to Consumers and businesses.,"52,087",2/1/12,,1/5/12,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
CrowdClock,https://www.crunchbase.com/organization/crowdclock,"Platforms, Apps, Software, Internet Services, Mobile","Carlsbad, California, United States",CrowdClock is a time management tool that can easily be implemented in to businesses.,"55,756",1/3/12,,1/6/12,1,"$80,000 ",Seed,"$80,000 ","$80,000 ","$80,000 "
LetsWombat,https://www.crunchbase.com/organization/letswombat,"Sales and Marketing, Advertising","New York, New York, United States",LetsWombat is a sales and marketing company providing interaction services that help brands connect with consumers.,"61,011",1/1/12,,1/9/12,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Pictorious,https://www.crunchbase.com/organization/pictorious,"Media and Entertainment, Internet Services, Content and Publishing, Mobile","New York, New York, United States",Pictorious is a mobile contest app. Challenge brands and people to connect authentically around the globe through shared experiences.,"44,954",7/1/14,,1/12/12,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Here On Biz,https://www.crunchbase.com/organization/here-on-biz,"Platforms, Apps, Media and Entertainment, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","Calabasas, California, United States",Here On Biz offers a real-time networking app for business professionals to locate and interact with other professionals in their vicinity.,"40,665",1/15/12,,1/15/12,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Manifest,https://www.crunchbase.com/organization/manifest,"Media and Entertainment, Internet Services, Mobile","Moscow Mills, Missouri, United States","Manifest is an app that lets people share their opinion on things, forming trends that reveal positive/negative attitude toward the subject.","59,017",1/15/12,,1/15/12,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
DreamCloset.com,https://www.crunchbase.com/organization/dreamcloset-com,"Clothing and Apparel, Design","Los Angeles, California, United States","DreamCloset.com is an online consignment store for designer clothing, fashion shoes, and accessories.","51,882",1/9/12,,1/17/12,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
BoxCat,https://www.crunchbase.com/organization/boxcat,Mobile,"San Gabriel, California, United States",Indie games collaboration micropublishin,"49,193",3/27/12,,1/18/12,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
Efficiency Exchange,https://www.crunchbase.com/organization/efficiency-exchange,"Energy, Data and Analytics","Sandston, Virginia, United States",Efficiency Exchange offers cost management applications that analyze operational bills and find cost-saving points for Chinese factories.,"45,928",1/20/12,,1/25/12,1,"$600,000 ",Seed,"$600,000 ","$600,000 ","$600,000 "
CloudAptitude,https://www.crunchbase.com/organization/cloudaptitude,"Media and Entertainment, Software, Internet Services","Memphis, Tennessee, United States","CloudAptitude is a social media managing tool that flags and alerts its users of previous detrimental comments, posts, and tweets.","63,444",1/28/12,,1/29/12,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
Friendsignia,https://www.crunchbase.com/organization/friendsignia,"Media and Entertainment, Information Technology, Software, Internet Services","Memphis, Tennessee, United States",Friendsignia is a relationship management tool that filters data from social networks to display the most relevant connections.,"64,052",1/29/12,6/1/13,1/29/12,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
Safety Hound,https://www.crunchbase.com/organization/the-safety-hound,Software,"Sparta, New Jersey, United States",Safety Hound,"64,517",1/28/12,,1/29/12,1,"$15,000 ",Seed,"$15,000 ","$15,000 ","$15,000 "
GetHired.com,https://www.crunchbase.com/organization/gethired-com,"Professional Services, Internet Services","Palo Alto, California, United States",GetHired is an applicant tracking system and recruiting software that connects job seekers with employers.,"21,469",1/30/12,,1/30/12,1,"$1,750,000 ",Seed,"$1,750,000 ","$1,750,000 ","$1,750,000 "
iGrez LLC,https://www.crunchbase.com/organization/igrez-llc,"Gaming, Mobile","Rancho Cordova, California, United States","iGrez is a mobile games publishing company that offers its users with Birdsii, a mobile game for iPhone devices.","63,629",1/30/12,,1/30/12,1,"$3,000 ",Seed,"$3,000 ","$3,000 ","$3,000 "
Matchpoint,https://www.crunchbase.com/organization/matchpoint,"Media and Entertainment, Data and Analytics, Video","West Hollywood, California, United States",Connecting Great Music with Great Film,"39,832",1/1/12,,1/31/12,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
FitWithMe,https://www.crunchbase.com/organization/fitwithme,"Media and Entertainment, Sports, Health Care, Internet Services","Marietta, Georgia, United States",1st Platform in The World With Social Wo,"53,800",1/1/12,,1/31/12,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
